id,age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,impulsive,ss,alcohol,amphet,amyl,benzos,caff,cannabis,choc,coke,crack,ecstasy,heroin,ketamine,legalh,lsd,meth,mushrooms,nicotine,semer,vsa
1,0,1,0,0,0,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,-0.21711999999999998,-1.18084,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,1,0,1,-0.67825,1.9388599999999998,1.43533,0.7609600000000001,-0.14277,-0.71126,-0.21575,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0
3,0,0,0,0,1,-0.46725,0.80523,-0.8473200000000001,-1.6209,-1.0145,-1.37983,0.40148,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,2,1,2,0,1,-0.14882,-0.80615,-0.019280000000000002,0.59042,0.5848899999999999,-1.37983,-1.18084,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
5,0,1,1,0,1,0.73545,-1.6334,-0.45174,-0.30172,1.3061200000000002,-0.21711999999999998,-0.21575,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
6,3,1,3,1,1,-0.67825,-0.30033000000000004,-1.55521,2.03972,1.6308799999999999,-1.37983,-1.5485799999999998,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,4,0,2,2,1,-0.46725,-1.09207,-0.45174,-0.30172,0.9394899999999999,-0.21711999999999998,0.07987000000000001,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8,0,0,4,0,1,-1.32828,1.9388599999999998,-0.8473200000000001,-0.30172,1.6308799999999999,0.19268,-0.52593,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,0,1,1,0.62967,2.57309,-0.97631,0.7609600000000001,1.1340700000000001,-1.37983,-1.5485799999999998,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10,5,0,2,0,1,-0.24649000000000001,0.0033200000000000005,-1.42424,0.59042,0.12330999999999999,-1.37983,-0.8463700000000001,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11,1,1,5,0,1,-1.05308,0.80523,-1.1190200000000001,-0.7609600000000001,1.81175,0.19268,0.07987000000000001,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
12,4,0,6,3,1,-1.32828,0.0033200000000000005,0.14143,-1.92595,-0.52745,0.52975,1.2247,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0
13,5,1,5,0,1,2.28554,0.16767,0.44585,-1.6209,-0.78155,1.29221,0.07987000000000001,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
14,5,1,0,1,1,-0.79151,0.80523,-0.019280000000000002,0.9415600000000001,3.4643599999999997,-0.71126,-0.8463700000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,1,0,0,1,-0.92104,1.45421,0.44585,-0.60633,1.6308799999999999,1.29221,0.7654,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
16,5,0,5,0,1,-2.05048,-1.50796,-1.55521,-1.07533,1.1340700000000001,-0.71126,-0.52593,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
17,0,1,6,0,1,-1.5507799999999998,-0.80615,-1.68062,0.28783000000000003,0.7583,-0.21711999999999998,-2.07848,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
18,4,0,4,0,1,0.52135,-1.23177,-0.31776,-0.45321000000000006,-1.3850200000000001,-1.37983,-0.8463700000000001,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
19,5,0,5,4,1,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20,0,0,0,0,1,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
21,4,0,0,0,1,-0.79151,0.80523,0.7233,1.6110799999999998,-1.13788,0.19268,-0.21575,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
22,3,0,7,0,1,-1.1943,0.47617,-1.1190200000000001,-0.60633,1.81175,-0.21711999999999998,-1.18084,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,4,0,5,0,1,0.41667,-0.9477899999999999,-0.8473200000000001,1.11406,-0.89891,-0.71126,0.07987000000000001,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,4,0,4,0,1,1.6038299999999999,-3.27393,-1.2755299999999998,0.28783000000000003,-1.0145,-1.37983,-1.5485799999999998,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
25,5,0,5,0,1,-0.14882,0.63779,1.24033,0.7609600000000001,1.46191,-0.21711999999999998,-0.52593,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26,4,0,6,0,1,-0.79151,-0.43998999999999994,-1.2755299999999998,0.9415600000000001,-0.00665,-0.21711999999999998,0.40148,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0
27,5,1,3,1,1,-0.051879999999999996,-1.6334,-3.27393,-0.7609600000000001,0.5848899999999999,0.19268,-1.5485799999999998,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28,0,0,5,0,1,0.52135,-1.23177,-0.019280000000000002,-0.01729,-2.18109,1.8620299999999999,0.40148,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0
29,0,1,2,0,1,0.04257,-1.50796,-0.71727,0.28783000000000003,1.3061200000000002,0.19268,-0.52593,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,4,0,1,0,1,-1.32828,1.74091,0.8830899999999999,0.9415600000000001,1.81175,-0.21711999999999998,-0.52593,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,4,0,4,0,1,0.31287,-0.80615,-1.2755299999999998,-1.47955,-0.65253,-1.37983,0.07987000000000001,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
32,0,1,4,3,1,-1.1943,-0.80615,0.14143,-0.60633,-0.00665,-1.37983,-0.8463700000000001,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,5,0,1,-0.79151,-1.23177,-0.019280000000000002,0.43851999999999997,-0.00665,0.19268,-0.8463700000000001,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
34,2,0,5,0,1,0.41667,-0.30033000000000004,0.29338000000000003,1.2861,-0.14277,-0.71126,-1.5485799999999998,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,5,2,2,1.02119,0.63779,0.8830899999999999,-2.90161,-0.78155,0.52975,1.92173,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
36,3,0,7,0,1,-0.24649000000000001,-0.80615,-2.63199,-0.30172,-0.78155,0.52975,-1.5485799999999998,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
37,0,0,5,0,1,-0.24649000000000001,-0.57545,-0.17779,-0.01729,-1.5184,-0.21711999999999998,-0.21575,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,5,0,7,2,1,0.31287,0.32197,1.0623799999999999,0.13136,-0.65253,0.52975,-0.52593,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
39,4,0,5,0,1,-1.5507799999999998,1.2861,0.29338000000000003,-0.01729,0.7583,-0.21711999999999998,-0.8463700000000001,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,3,1,0,0,1,-0.24649000000000001,-0.9477899999999999,-1.1190200000000001,-0.7609600000000001,0.41594,-1.37983,-0.21575,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
41,0,0,2,0,1,0.04257,-0.43998999999999994,-0.019280000000000002,-2.07848,0.7583,-0.71126,0.07987000000000001,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,0,1,5,0,1,0.82562,0.0033200000000000005,1.0623799999999999,1.81866,-0.40581,-0.21711999999999998,-0.21575,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,2,0,1,-0.14882,-0.9477899999999999,-1.2755299999999998,-0.01729,-0.65253,-0.21711999999999998,-0.52593,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0
